Node,PFR,PDR,Drop Ratio,Avg E2ED (Delay),Throughput (Bytes/sec),Unique Neighbors,Node Type,Total Nodes
_0_,0.0,0.8962264150943396,0.0,-0.14832883044891404,1586.7000248605336,8,Normal Node,25
_10_,0.0,11.0,1.0,0.00043301004545454573,29644.923263124077,13,Attacker Node,25
_11_,0.0,15.0,1.0,0.0009335310000000004,40849.72326354976,17,Attacker Node,25
_12_,0.0,19.0,1.0,-0.0018628196315789488,54354.71447931596,21,Attacker Node,25
_13_,0.0,16.5,0.0,0.0035316288939393954,49926.438765140956,17,Normal Node,25
_14_,0.0,9.5,1.5,0.00829360702631579,27911.63112066935,13,Attacker Node,25
_15_,0.0,9.5,0.0,0.00680160607894737,32661.80730742029,10,Normal Node,25
_16_,0.0,11.0,2.0,0.008602567772727275,30954.986939798524,15,Attacker Node,25
_17_,0.16049382716049382,1.4594594594594594,0.018018018018018018,-0.9965617165050172,3175.6670425739435,18,Normal Node,25
_18_,0.0,12.5,0.5,0.001319870519999999,37346.54868258575,14,Normal Node,25
_19_,0.0,7.0,1.0,-0.000291974499999999,27482.611486453137,10,Attacker Node,25
_1_,0.0,10.5,0.0,0.008602736261904763,28827.886720410643,11,Normal Node,25
_20_,0.0,7.5,0.0,-0.005737775833333336,33302.60295999244,8,Normal Node,25
_21_,0.0,8.5,0.5,0.00519227794117647,37870.062107853366,10,Normal Node,25
_22_,0.0,8.0,2.0,-0.0035070700625000006,34635.38596522779,13,Attacker Node,25
_23_,0.0,8.0,0.0,-0.0049994623749999995,34635.61006963756,9,Normal Node,25
_24_,0.0,1.5789473684210527,0.03508771929824561,-1.384284065011278,2883.370198862516,9,Normal Node,25
_2_,0.0,11.5,0.5,0.007790669695652176,31629.412529180612,13,Normal Node,25
_3_,0.0,9.5,0.5,-0.0010779334473684195,28171.51843694815,11,Normal Node,25
_4_,0.0,6.5,0.5,-0.004834721038461536,19787.118775685783,8,Normal Node,25
_5_,0.0,9.5,0.5,0.007210297052631577,26026.648428560864,11,Normal Node,25
_6_,0.0,14.0,0.5,0.005146351464285714,38048.44839652925,15,Normal Node,25
_7_,0.15757575757575756,1.4864864864864864,0.018018018018018018,-1.07864530361895,3193.052620489644,18,Normal Node,25
_8_,0.0,14.0,0.0,0.010350793892857143,41183.757631312394,14,Normal Node,25
_9_,0.0,7.5,1.5,0.0026134409333333337,22932.091296324583,11,Attacker Node,25
