Node,PFR,PDR,Drop Ratio,Avg E2ED (Delay),Throughput (Bytes/sec),Unique Neighbors,Node Type,Total Nodes
_0_,0.0,0.8962264150943396,0.0,-0.14904656558165735,1586.7486830750686,8,Normal Node,30
_10_,0.0,13.0,0.0,0.0025483621923076934,28328.326903451925,13,Normal Node,30
_11_,0.0,16.5,1.0,0.0032544873939393936,35738.6667680982,18,Attacker Node,30
_12_,0.0,18.5,1.5,0.0027545944189189195,41657.782626631466,21,Attacker Node,30
_13_,0.0,16.0,1.0,0.0018985760000000003,44465.71691739514,18,Attacker Node,30
_14_,0.0,11.0,0.5,0.006038676863636364,50243.29219933397,13,Normal Node,30
_15_,0.0,12.5,0.5,0.01050161898,27674.750696013914,13,Normal Node,30
_16_,0.15853658536585366,1.4774774774774775,0.02702702702702703,-1.05198885826716,3184.7483107868106,19,Normal Node,30
_17_,0.0,20.0,0.0,0.0062032354000000015,55880.38506341086,20,Normal Node,30
_18_,0.0,15.5,0.5,-0.0005528235322580653,42444.993309860576,17,Normal Node,30
_19_,0.0,11.0,0.5,-0.00138761909090909,38636.29397625952,13,Normal Node,30
_1_,0.0,9.5,0.5,0.0069269738684210515,20917.70522174163,11,Normal Node,30
_20_,0.0,9.0,1.0,-0.008303827555555556,27791.376477534097,11,Attacker Node,30
_21_,0.0,12.0,1.5,0.007374941416666666,37504.86728521592,15,Attacker Node,30
_22_,0.16049382716049382,1.4594594594594594,0.02702702702702703,-0.9969506588737708,3175.0585600751906,19,Normal Node,30
_23_,0.0,12.5,1.0,0.00497491626,38449.23444707387,15,Attacker Node,30
_24_,0.0,8.0,1.0,-2.2978874999999427e-05,37942.84920881081,11,Attacker Node,30
_25_,0.0,8.0,0.0,0.00731105525,24553.54620830682,8,Normal Node,30
_26_,0.0,10.0,0.5,0.0014964218500000002,31029.206746761367,11,Normal Node,30
_27_,0.0,10.5,0.5,0.005499602714285713,31973.57390861932,12,Normal Node,30
_28_,0.0,9.0,0.0,-0.0011673270555555568,40741.601976600585,10,Normal Node,30
_29_,0.0,1.6071428571428572,0.03571428571428571,-1.4616636574642854,2883.379293785099,9,Normal Node,30
_2_,0.0,12.5,0.0,0.007145998640000001,27671.442702959655,13,Normal Node,30
_3_,0.0,10.0,0.0,0.00033917420000000015,59772.68448091906,11,Normal Node,30
_4_,0.0,7.0,0.0,-0.003672398857142858,47832.7085185783,8,Normal Node,30
_5_,0.16774193548387098,1.3963963963963963,0.0,-0.7858950996325743,3144.4452140440685,11,Normal Node,30
_6_,0.0,14.0,0.5,0.004880539714285713,30579.444117766034,15,Normal Node,30
_7_,0.0,17.0,0.5,0.009360558735294117,37333.13384807877,18,Normal Node,30
_8_,0.0,14.0,0.0,0.008981787714285717,60659.088071850696,15,Normal Node,30
_9_,0.0,10.0,0.0,0.0015603007000000012,45674.82266750099,11,Normal Node,30
