Node,PFR,PDR,Drop Ratio,Avg E2ED (Delay),Throughput (Bytes/sec),Unique Neighbors,Node Type,Total Nodes
_0_,0.0,0.8018867924528302,0.0,0.40261662634109957,1537.9911152906732,3,Normal Node,5
_1_,0.0,3.5,0.0,0.0069937722857142835,16290.020094461497,4,Normal Node,5
_2_,0.18439716312056736,1.2702702702702702,0.0,-0.2694868238933527,3076.22080908103,5,Normal Node,5
_3_,0.0,3.0,0.0,-0.010896713500000002,14491.059950917377,4,Normal Node,5
_4_,0.0,1.5,0.0,-0.975695067111111,2853.0050965539035,4,Normal Node,5
