Node,PFR,PDR,Drop Ratio,Avg E2ED (Delay),Throughput (Bytes/sec),Unique Neighbors,Node Type,Total Nodes
_0_,0.0,0.8773584905660378,0.009433962264150943,-0.04902128177212571,1577.0337075667567,8,Normal Node,15
_10_,0.0,7.5,0.0,-0.0036172690666666655,37293.99463328761,8,Normal Node,15
_11_,0.0,9.5,0.0,-0.005356973315789475,49842.5183167064,10,Normal Node,15
_12_,0.0,10.0,1.0,0.005852936150000001,53119.86844749101,13,Attacker Node,15
_13_,0.0,10.0,0.0,0.0011660092999999983,62487.332730919225,11,Normal Node,15
_14_,0.0,1.6785714285714286,0.0,-1.7168481350784162,2902.219538003727,9,Normal Node,15
_1_,0.0,8.5,1.0,0.006949715441176471,42407.09263951921,11,Attacker Node,15
_2_,0.0,12.5,0.0,0.0030255213800000004,62865.63961259849,13,Normal Node,15
_3_,0.0,10.0,0.0,0.003914447200000001,60856.244717247995,11,Normal Node,15
_4_,0.0,7.0,0.0,0.001468618571428571,46201.13371149059,8,Normal Node,15
_5_,0.0,8.5,0.0,0.008737325588235294,42407.53319748005,9,Normal Node,15
_6_,0.0,9.5,1.0,-0.0010471832368421049,47522.70834259014,12,Attacker Node,15
_7_,0.16352201257861634,1.4324324324324325,0.0,-0.9089767147356003,3163.923316582389,14,Normal Node,15
_8_,0.0,11.0,0.0,-0.0025205655454545455,62866.38541796866,12,Normal Node,15
_9_,0.0,8.0,0.0,0.0009374776875000008,53219.02743981828,9,Normal Node,15
