Node,PFR,PDR,Drop Ratio,Avg E2ED (Delay),Throughput (Bytes/sec),Unique Neighbors,Node Type,Total Nodes
_0_,0.0,0.8962264150943396,0.0,-0.14988017893644381,1586.7454568240898,8,Normal Node,35
_10_,0.0,13.5,0.0,0.0036661045925925934,24093.192938113614,13,Normal Node,35
_11_,0.0,17.5,0.5,0.004344283885714286,31578.4198302964,18,Normal Node,35
_12_,0.0,17.5,2.0,0.003163457300000001,32497.00290372757,21,Attacker Node,35
_13_,0.0,14.5,1.5,0.0018331114655172418,32220.289083157822,18,Attacker Node,35
_14_,0.0,10.0,0.5,0.0055104663,37358.98733483631,12,Normal Node,35
_15_,0.0,12.5,0.5,0.011965909660000001,22868.261302623105,13,Normal Node,35
_16_,0.15853658536585366,1.4774774774774775,0.02702702702702703,-1.0520017084628206,3184.5802958448767,19,Normal Node,35
_17_,0.0,16.0,2.5,0.005815006281250001,35132.82768677243,21,Attacker Node,35
_18_,0.0,13.0,2.5,0.001949498423076923,28369.119443198728,18,Attacker Node,35
_19_,0.0,10.0,0.5,0.002545066200000001,38995.6095818062,12,Normal Node,35
_1_,0.0,9.5,0.5,0.007382656394736842,17387.484118570243,11,Normal Node,35
_20_,0.0,11.0,1.0,2.2101454545455634e-05,26329.802073228315,13,Attacker Node,35
_21_,0.16049382716049382,1.4594594594594594,0.036036036036036036,-0.9966600083644386,3174.9425577097936,19,Normal Node,35
_22_,0.0,17.5,1.5,-0.001329564585714288,41982.5584238483,20,Attacker Node,35
_23_,0.0,15.0,1.0,0.009812968566666667,35244.616948415845,17,Attacker Node,35
_24_,0.0,7.5,2.0,0.0009531118999999984,37957.24517593238,13,Attacker Node,35
_25_,0.0,10.5,0.5,0.010974608119047621,24567.57122580752,11,Normal Node,35
_26_,0.0,12.5,1.0,0.0026553900200000004,29543.281853819168,14,Attacker Node,35
_27_,0.0,16.0,0.5,0.0099135623125,37732.472262421674,17,Normal Node,35
_28_,0.0,12.5,0.0,0.007683645440000001,38586.20810455915,13,Normal Node,35
_29_,0.0,7.0,1.0,-0.0023185525000000017,33420.26303333412,10,Attacker Node,35
_2_,0.0,11.5,0.5,0.00683236852173913,21130.1063099702,13,Normal Node,35
_30_,0.0,7.0,0.5,0.0012028194285714292,21391.652212352088,8,Normal Node,35
_31_,0.0,9.0,1.0,0.0010309129999999988,27890.38105436201,11,Attacker Node,35
_32_,0.17333333333333334,1.3513513513513513,0.036036036036036036,-0.6173555606989464,3115.9066555559916,14,Normal Node,35
_33_,0.0,7.0,1.5,0.0034174829285714275,33421.67690831297,11,Attacker Node,35
_34_,0.0,1.5714285714285714,0.05357142857142857,-1.3149884215392857,2871.5824330363025,9,Normal Node,35
_3_,0.0,9.0,0.5,-0.0005750031666666669,43811.95886969812,11,Normal Node,35
_4_,0.0,7.0,0.0,-0.005514796357142855,37893.82724779331,8,Normal Node,35
_5_,0.16774193548387098,1.3963963963963963,0.0,-0.7859534329924118,3144.247117937001,11,Normal Node,35
_6_,0.0,14.0,0.5,0.005508965999999999,25418.611292767764,15,Normal Node,35
_7_,0.0,17.0,0.5,0.009731511735294119,31032.5014186356,18,Normal Node,35
_8_,0.0,12.0,1.0,0.007361138166666667,58415.77039194649,15,Attacker Node,35
_9_,0.0,8.0,1.0,-0.0005978814999999988,41329.93710315457,11,Attacker Node,35
